file_name,score,score_error,percentiles_0,percentiles_50,percentiles_90,percentiles_95,percentiles_99
apache__arrow#org.apache.arrow.adapter.jdbc.JdbcAdapterBenchmarks.consumeBenchmark#.json,643.7956659814402,0.410676301829305,611.328,626.688,637.952,800.768,892.928
apache__arrow#org.apache.arrow.adapter.jdbc.JdbcAdapterBenchmarks.testJdbcToArrow#.json,788.5906017033807,1.1544099027090577,746.496,765.952,785.408,962.5600000000001,1060.864
apache__arrow#org.apache.arrow.algorithm.search.ParallelSearcherBenchmarks.searchBenchmark#numThreads=1.json,9100.280701308353,2.2816583799292847,8863.744,8896.512,9945.088,9961.472,9994.24
apache__arrow#org.apache.arrow.algorithm.search.ParallelSearcherBenchmarks.searchBenchmark#numThreads=5.json,3777.4399699750606,1.513586713435538,3682.304,3731.456,4079.616,4096.0,4120.576
apache__arrow#org.apache.arrow.memory.util.ArrowBufPointerBenchmarks.compareBenchmark#.json,126.77571169323154,0.0927477123174,104.0,130.0,148.0,149.0,150.0
apache__arrow#org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize#.json,4388.39718839528,0.3311089668044145,4312.0,4360.0,4464.0,4544.0,4560.0
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark#.json,59.98948489123327,0.03405439327851803,40.0,61.0,82.0,83.0,84.0
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark#.json,104.08394808441429,0.06594899357533648,76.0,101.0,134.0,139.0,145.0
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#.json,555.6408912026105,7.743769546162728,456.0,508.0,534.0,550.0,1864.0
apache__arrow#org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark#.json,18.2730404665079,0.0005790736272599244,16.704,18.272000000000002,18.336000000000002,18.336000000000002,18.368000000000002
apache__arrow#org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark#.json,15.086843621179094,0.0008806049645264011,14.128,14.944,15.424,15.936,16.064
apache__arrow#org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark#.json,17.362616209823145,0.0004480925102474468,13.536,17.28,17.76,17.824,18.432000000000002
apache__arrow#org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength#.json,291.62048278064714,4.663440522356389,249.0,261.0,282.0,297.0,566.0
apache__arrow#org.apache.arrow.vector.ipc.WriteChannelBenchmark.alignBenchmark#alignSize=1.json,138.54050243634694,0.5550781633924752,121.0,131.0,160.0,163.0,171.0
